River Name,Name of Stations,Latitude,Longitude,Month,pH,TDS
Cauvery River,Musiri Ferigate,10.95488,78.44395,Jan,7.5,282
Cauvery River,Musiri Ferigate,10.95488,78.44395,Feb,7.12,346
Cauvery River,Musiri Ferigate,10.95488,78.44395,Mar,7.84,398
Cauvery River,Musiri Ferigate,10.95488,78.44395,Apr,8.4,404
Cauvery River,Musiri Ferigate,10.95488,78.44395,May,7.56,496
Cauvery River,Musiri Ferigate,10.95488,78.44395,Jun,7.88,338
Cauvery River,Musiri Ferigate,10.95488,78.44395,Jul,7.5,354
Cauvery River,Musiri Ferigate,10.95488,78.44395,Aug,7.71,380
Cauvery River,Musiri Ferigate,10.95488,78.44395,Sep,7.86,308
Cauvery River,Musiri Ferigate,10.95488,78.44395,Oct,8.32,386
Cauvery River,Musiri Ferigate,10.95488,78.44395,Nov,7.13,402
Cauvery River,Musiri Ferigate,10.95488,78.44395,Dec,7.58,682
Cauvery River,Musiri Ferigate,10.95488,78.44395,Avg,7.7,398
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Jan,7.07,112
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Feb,7.6,176
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Mar,7.78,68
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Apr,7.96,108
Bhavani River,Pathirakaliamman Koil,13.64,80.44,May,7.12,140
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Jun,7.25,80
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Jul,7.23,60
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Aug,7.87,256
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Sep,7.16,86
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Oct,6.92,74
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Nov,7.66,210
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Dec,7.32,230
Bhavani River,Pathirakaliamman Koil,13.64,80.44,Avg,7.4,133.3
Bhavani River,Sirumugai,11.34995,77.01143,Jan,8.4,128
Bhavani River,Sirumugai,11.34995,77.01143,Feb,7.08,180
Bhavani River,Sirumugai,11.34995,77.01143,Mar,7.53,120
Bhavani River,Sirumugai,11.34995,77.01143,Apr,7.37,108
Bhavani River,Sirumugai,11.34995,77.01143,May,7.9,172
Bhavani River,Sirumugai,11.34995,77.01143,Jun,8.15,124
Bhavani River,Sirumugai,11.34995,77.01143,Jul,7.13,56
Bhavani River,Sirumugai,11.34995,77.01143,Aug,7.87,116
Bhavani River,Sirumugai,11.34995,77.01143,Sep,7.4,116
Bhavani River,Sirumugai,11.34995,77.01143,Oct,6.97,102
Bhavani River,Sirumugai,11.34995,77.01143,Nov,7.93,256
Bhavani River,Sirumugai,11.34995,77.01143,Dec,7.69,220
Bhavani River,Sirumugai,11.34995,77.01143,Avg,7.6,141.5
Bhavani River,Bhavani Sagar,11.48529,77.1346,Jan,7.46,136
Bhavani River,Bhavani Sagar,11.48529,77.1346,Feb,No Flow,No Flow
Bhavani River,Bhavani Sagar,11.48529,77.1346,Mar,7.44,148
Bhavani River,Bhavani Sagar,11.48529,77.1346,Apr,7.43,132
Bhavani River,Bhavani Sagar,11.48529,77.1346,May,8.3,124
Bhavani River,Bhavani Sagar,11.48529,77.1346,Jun,7.75,132
Bhavani River,Bhavani Sagar,11.48529,77.1346,Jul,7.5,88
Bhavani River,Bhavani Sagar,11.48529,77.1346,Aug,8.62,320
Bhavani River,Bhavani Sagar,11.48529,77.1346,Sep,7.55,176
Bhavani River,Bhavani Sagar,11.48529,77.1346,Oct,7.6,140
Bhavani River,Bhavani Sagar,11.48529,77.1346,Nov,7.9,224
Bhavani River,Bhavani Sagar,11.48529,77.1346,Dec,7.42,312
Bhavani River,Bhavani Sagar,11.48529,77.1346,Avg,7.7,175.6
Bhavani River,Bhavani,11.45409,77.67957,Jan,8.05,400
Bhavani River,Bhavani,11.45409,77.67957,Feb,No Flow,No Flow
Bhavani River,Bhavani,11.45409,77.67957,Mar,7.78,264
Bhavani River,Bhavani,11.45409,77.67957,Apr,8.21,352
Bhavani River,Bhavani,11.45409,77.67957,May,8.46,364
Bhavani River,Bhavani,11.45409,77.67957,Jun,7.94,276
Bhavani River,Bhavani,11.45409,77.67957,Jul,7.2,128
Bhavani River,Bhavani,11.45409,77.67957,Aug,7.72,296
Bhavani River,Bhavani,11.45409,77.67957,Sep,7.69,248
Bhavani River,Bhavani,11.45409,77.67957,Oct,7.88,224
Bhavani River,Bhavani,11.45409,77.67957,Nov,8.04,316
Bhavani River,Bhavani,11.45409,77.67957,Dec,8.33,694
